,Afghanistan,Armenia,Australia,Azerbaijan,Bahrain,Bangladesh,Belarus,Brunei,Cambodia,China,Cyprus,Estonia,Fiji,Georgia,HongKongSARChina,India,Indonesia,Iran,Iraq,Israel,Japan,Jordan,Kazakhstan,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lithuania,Malaysia,Moldova,Mongolia,Myanmar,Nepal,NewZealand,Oman,Pakistan,PapuaNewGuinea,Philippines,Qatar,Russia,SaudiArabia,Singapore,SriLanka,Tajikistan,Thailand,Tonga,Turkey,UnitedArabEmirates,Uzbekistan,Vanuatu,Vietnam,Yemen,SouthKorea,Syria,Bhutan
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,1,1,2,,1,2,2,2,1,1,2,1,2,2,2,1,,2,1,2,1,2,2,1,2,1,2,1,2,1,2,2,,1,2,,2,2,1,1,,1,,1,2,2,2,1,1,2,,,1,,2
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,3,,2,,1,3,,2,3,3,,1,2,3,2,2,,2,2,,1,,2,1,,3,,3,2,1,3,,3,3,2,3,,,2,1,2,2,3,1,3,,2,2,1,,3,,2,,
Bahrain,,,2,3,,,,2,,2,2,2,,2,2,3,3,,,,2,3,2,,1,,,2,,2,2,,,,,2,1,3,,,3,2,1,2,,3,2,,2,1,,,,,2,,
Bangladesh,2,2,2,2,2,,2,,2,2,2,2,1,2,,,,,,,2,,2,2,2,2,2,2,,2,2,2,,,2,2,2,,1,,2,2,2,2,,2,,1,2,2,2,,,,2,,1
Belarus,,1,1,1,1,,,,,1,1,1,,1,1,,1,,,1,1,,1,,1,1,,1,,1,1,1,1,,,1,1,,,,1,1,1,1,,1,,,1,1,1,1,,,1,,
Brunei,,,2,,2,,,,1,2,1,1,,,1,,1,,,,1,,,,2,,1,1,,1,1,,,1,,1,1,,,1,2,1,2,1,,,1,,1,1,,,1,,1,,
Cambodia,,2,2,2,2,,2,1,,2,2,2,2,2,2,2,1,2,,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,,2,1,2,2,,1,,2,1,2,2,2,2,2,1,2,2,,2
China,,,,,,,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,,,,,,
Cyprus,,,1,,,,,1,,,,1,,1,1,,,,,1,1,,,1,,,,1,,1,1,1,,,,1,,,,,,,,1,,,,1,,1,,1,,,1,,
Estonia,,,1,,,,,1,,,1,,,1,1,,,,,1,1,,,1,,,,1,,1,1,1,,,,1,,,,,,,,1,,,,1,,1,,1,,,1,,
Fiji,,,1,,,1,,1,,1,1,1,,,1,1,1,,,1,1,,,1,,,,1,,1,1,1,,,,1,,,1,1,,1,,1,,,1,1,1,1,,1,,,1,,
Georgia,,1,1,1,1,,1,1,3,3,1,1,3,,3,3,3,1,,1,1,1,1,3,1,1,3,1,1,1,1,1,3,3,,1,1,,3,3,1,1,1,1,,1,1,3,1,1,1,3,3,,1,,3
HongKongSARChina,,,1,,,,1,1,,,,,1,,,,1,,,1,1,1,1,1,,,,,,,1,,,,,1,,,1,1,,1,,1,,,1,1,,1,,1,,,1,,1
India,,,,,,,,,,,,,,,,,1,3,,3,2,,3,,,3,,,,,,,,,1,,,,,,3,,,,,,,,,,,3,,,2,,1
Indonesia,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,,1
Iran,,1,2,1,2,,2,2,2,2,2,2,2,1,2,2,2,,,,2,,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,,2,1,2
